Country;ISO;2020;2020 Ranking;2025;2025 Ranking;Region;Pattern
North Korea;PRK;14.18;180;12.64;179;Asia-Pacific;Lower
North Macedonia;MKD;68.72;92;70.44;42;EU & Balkans;Higher
Norway;NOR;92.16;1;92.31;1;EU & Balkans;Higher
OECS;CSS;76.22;44;68.08;48;Americas;Lower
Oman;OMN;56.58;135;42.29;134;MENA;Lower
Pakistan;PAK;54.48;145;29.62;158;Asia-Pacific;Lower
Palestine;PSE;55.91;137;27.41;163;MENA;Lower
Panama;PAN;70.22;76;66.75;53;Americas;Lower
Papua New Guinea;PNG;76.07;46;58.35;78;Asia-Pacific;Lower
Paraguay;PRY;67.03;100;56.84;84;Americas;Lower
Peru;PER;69.06;90;42.88;130;Americas;Lower
Philippines;PHL;56.46;136;49.57;116;Asia-Pacific;Lower
Poland;POL;71.35;62;74.79;31;EU & Balkans;Higher
Portugal;PRT;88.17;10;84.26;8;EU & Balkans;Lower
Qatar;QAT;57.49;129;58.25;79;MENA;Higher
Romania;ROU;74.09;48;66.42;55;EU & Balkans;Lower
Russia;RUS;51.08;149;24.57;171;EECA;Lower
Rwanda;RWA;49.66;155;35.84;146;Africa;Lower
Samoa;WSM;81.75;21;69.28;44;Asia-Pacific;Lower
Saudi Arabia;SAU;37.86;170;27.94;162;MENA;Lower
Senegal;SEN;76.01;47;59.43;74;Africa;Lower
Serbia;SRB;68.38;93;53.55;96;EU & Balkans;Lower
Seychelles;SYC;71.34;63;68.56;45;Africa;Lower
Sierra Leone;SLE;69.72;85;66.36;56;Africa;Lower
Singapore;SGP;44.77;158;45.78;123;Asia-Pacific;Higher
Slovakia;SVK;77.33;33;71.93;38;EU & Balkans;Lower
Slovenia;SVN;77.36;32;74.06;33;EU & Balkans;Lower
Somalia;SOM;44.55;163;40.49;136;Africa;Lower
South Africa;ZAF;77.59;31;75.71;27;Africa;Lower
South Korea;KOR;76.30;42;64.06;61;Asia-Pacific;Lower
South Sudan;SSD;55.51;138;51.63;109;Africa;Lower
Spain;ESP;77.84;29;77.35;23;EU & Balkans;Lower
Sri Lanka;LKA;58.06;127;39.93;139;Asia-Pacific;Lower
Sudan;SDN;44.67;159;30.34;156;Africa;Lower
Suriname;SUR;82.50;20;74.49;32;Americas;Lower
Sweden;SWE;90.75;4;88.13;4;EU & Balkans;Lower
Switzerland;CHE;89.38;8;83.98;9;EU & Balkans;Lower
Syria;SYR;27.43;174;15.82;177;MENA;Lower
Tajikistan;TJK;44.66;161;32.21;153;EECA;Lower
Tanzania;TZA;59.75;124;53.68;95;Africa;Lower
Thailand;THA;55.06;140;56.72;85;Asia-Pacific;Higher
Togo;TGO;70.67;71;48.03;121;Africa;Lower
Tonga;TON;72.73;50;68.39;46;Asia-Pacific;Lower
Trinidad and Tobago;TTO;76.78;36;79.71;19;Americas;Higher
Tunisia;TUN;70.55;72;43.48;129;MENA;Lower
Turkey;TUR;49.98;154;29.40;159;EECA;Lower
Turkmenistan;TKM;14.56;179;19.14;174;EECA;Higher
Uganda;UGA;59.05;125;37.61;143;Africa;Lower
Ukraine;UKR;67.48;96;63.93;62;EECA;Lower
United Arab Emirates;ARE;57.31;131;26.91;164;MENA;Lower
United Kingdom;GBR;77.07;35;78.89;20;EU & Balkans;Higher
United States;USA;76.15;45;65.49;57;Americas;Lower
Uruguay;URY;84.21;19;65.18;59;Americas;Lower
Uzbekistan;UZB;46.93;156;35.24;148;EECA;Lower
Venezuela;VEN;54.34;147;29.21;160;Americas;Lower
Vietnam;VNM;25.29;175;19.74;173;Asia-Pacific;Lower
Yemen;YEM;41.75;167;31.45;154;MENA;Lower
Zambia;ZMB;63.00;120;57.33;82;Africa;Lower
Zimbabwe;ZWE;59.05;126;52.10;106;Africa;Lower
